name,region,governorate,address,contact,email,map_x,map_y
AHMED TLILI,Grand Tunis,tunis,20 Angle Rue Ahmed Tlili et Avenue Ibn Khaldoun - 1001 - Tunis Médina,"71,127,273",a.ahmedtlili@bhbank.tn,184,113
ALAIN SAVARY,Grand Tunis,tunis,10 Angle Avenue Alain Savary et Voie X2 Tunis - 1003 - Cité El KhaDIRECTION REGIONALEa,"71,127,272",a.alainsavary@bhbank.tn,185,116
ARIANA CITE LES ROSE,Grand Tunis,ariana,4 Avenue Mohamed Salah Belhaj- Cité les Roses 2080 - Ariana,"71,127,205",ag.ariana@bhbank.tn,184,112
ARIANA VILLE,Grand Tunis,ariana,02 Avenue Habib Bourguiba - 2080 - Ariana,"71,127,223",ag.arianaville@bhbank.tn,184,112
AVENUE DE CARTHAGE,Grand Tunis,tunis,23 Avenue de Carthage - 1001 - Tunis Médina,"71,127,207",ag.avenuecarthage@bhbank.tn,180,113
AVENUE DE LONDRES,Grand Tunis,tunis,70 Avenue de LonDIRECTION REGIONALEes - Tunis 1006 - Bab Souika,"71,127,214",ag.avedelondres@bhbank.tn,185,113
BEB SAADOUN,Grand Tunis,tunis,12 Boulvard 9 Avril 1006 Tunis- Bab Saadoun,"71,127,209",ag.babsaadoun@bhbank.tn,184,110
BEN AROUS,Grand Tunis,ben arous,02 Angle Avenue de France et Rue d'Alger - 2300- Ben Arous,"71,127,203",ag.benarous@bhbank.tn,188,114
BEN GUERDANE,Grand Tunis,tunis,12 Avenue deTunis - 4103 - Ben Guerdane,"71,127,366",ag.benguerdane@bhbank.tn,185,115
BIR KASSAA,Grand Tunis,ben arous,12 Rue du lin Bab Tounes -2059 - Bir El Kassaa,"71,127,246",ag.birelkassaa@bhbank.tn,189,118
BOUMHAL,Grand Tunis,ben arous,48 Avenue de l'environnement - 2097 Boumhal,"71,127,390",ag.boumhel@bhbank.tn,188,118
Bureau BH BANK La Kasbah,Grand Tunis,tunis,Rue de la Kasbah ( Lié à l'agence 9 Avril),"71,127,486",,185,113
CENTRE D'AFFAIRES HEDI NOUIRA,Grand Tunis,tunis,29 Rue Hedi Nouira Tunis 1002 -Tunis,"71,126,611",succursale.commercialekp@bhbank.tn,186,118
Centre d'Affaires Tunis Sud,Grand Tunis,tunis,Rue du Lin Bir El Kassaa,"71,126,086",mohamed.selimbouazizi@bhbank.tn,189,114
CENTRE URBAIN TUNIS NORD,Grand Tunis,tunis,45 Immeuble SALIM Lotiss AFH BC5 - Centre Urbain Nord Tunis - 2035 - Cité El Khadhra,"71,127,327",a.centreurbainnord@bhbank.tn,183,117
