name,address,contact,email
THALA KASSERINE,Angle de l'avenue Habib Bourguiba et rue de Palestine,71 127 486,ag.thala@bhbank.tn
DIRECTION REGIONALE NORD,"Ang Rue d'Alger et Espagne Bizerte Nord , Bizerte 7000 Tunisie",71127315,d.bizerteibnkhaldoun@bhbank.tn
DIRECTION REGIONALE GAFSA,"27 Av Taieb Mehiri Gafsa , Gafsa 2100",71127319,d.gafsa@bhbank.tn
DIRECTION REGIONALE GABES,"174 Av FHached Gabes , Gabes 6000 Tunisie",71127260,d.gabes@bhbank.tn
DIRECTION REGIONALE SFAX,"Rue CommandantBejaoui 3000 Sfax Ville, Sfax 3000 Tunisie",71127215,d.sfax@bhbank.tn
DIRECTION REGIONALE SAHEL,"Resid ElHana Av Mongi Slim Medina, Sousse 4000 Tunisie",71127288,d.sousse@bhbank.tn
NIDA CENTER,NIDA CENTER ARIANA,,
HOPITAL SAHLOUL,HOPITAL SAHLOUL SOUSSE,,
POLE TECHNOLOGIQUE GHAZALA,POLE GHAZALA ARIANA,,
MAC SA LAC I,LAC I MAC SA TUNIS LAC 1,,
DIRECTION REGIONALE TUNIS NORD,"05 Residence Essaad, rue Lac Leman -1035 Les Berges du Lac",71127322,d.tunis-nord@bhbank.tn
DIRECTION REGIONALE TUNIS VILLE,"05 Residence Essaad, rue Lac Leman -1035 Les Berges du Lac",71127322,d.tunis-medina@bhbank.tn
DIRECTION REGIONALE TUNIS SUD,Rue du Lin Bir El Kassaa,71126086,d.tunis-sud@bhbank.tn
DIRECTION REGIONALE NABEUL,30 Avenue Habib Bourguiba - 8000- Nabeul,71127277,d.nabeul@bhbank.tn
DIRECTION REGIONALE JENDOUBA,61 Avenue Hédi Chaker -8100- Jendouba,71127360,d.jendouba@bhbank.tn
HOTEL MARRIOT,HOTEL MARRIOT CENTRE URBAIN NORD,,
HOTEL SHEMS,HOTEL SHEMS MONASTIR,,
KANTAOUI BEY,KANTAOUI BEY SOUSSE,,
CLINIQUE TAOUFIK,CLINIQUE TAOUFIK TUNIS,,
RAS JBEL WASH,RAS JBEL WASH BIZERTE,,
AEROPORT JERBA,AEROPORT JERBA MEDNINE,,
CENTRE AFFAIRES SOUSSE,CENTRE AFFAIRES SOUSSE SOUSSE,,
BENI KHALLED,BENI KHALLED NABEUL,,
ECOLE MILITAIRE,ECOLE MILITAIRE BIZERTE,,
JERBA MIDOUN BORGO,JERBA MIDOUN BORGO DJERBA,,
SARTEX SIEGE,SARTEX MONASTIR,,
HOTEL MOVINPICK,HOTEL MOVINPICK TUNIS,,
AEROPORT CARTHAGE 2,AEROPORT CARTHAGE 2 TUNIS,,
Z TOUR,JERBA MIDOUN Z TOUR JERBA MIDOUN,,
HOTEL TOUR KHALEF,HOTEL TOUR KHALEF SOUSSE,,
BILLIONAIRE,BILLIONAIRE GAMARTH,,
LA GARE BARCELONE,LA GARE TUNIS,,
Centre d'Affaires Gabes,"Rue Mongi Slim, immeuble Oumaima Centre 1er étage Bloc B, Gabes 6000","71,127,483",ezzeddine.ouerimi@bhbank.tn
Centre d'Affaires Sousse,26 Résidence El Hana Avenue Mongi Slim 4000 - Sousse Medina,"71,127,485",mohamedanouar.benhassine@bhbank.tn
Bureau BH BANK La Kasbah,Rue de la Kasbah ( Lié à l'agence 9 Avril),"71,127,486",
Centre d'Affaires Sfax,"Avenue de l'environnement, route de Gabes, Sfax","71,127,488",ahmed.mhiri@bhbank.tn
Centre d'Affaires Bizerte,Angle de la rue d'Espagne et de l'Avenue Farhat Hached,"31,261,007",thouraya.kamoun@bhbank.tn
EPIDOR SIEGE,EPIDOR SOUSSE,,
AEROPORT CARTHAGE,AEROPORT CARTHAGE TUNIS,,
HOTEL DIAR ANDALUS,HOTEL DIAR ANDALUS SOUSSE,,
REGUEB,"Avenue de l'environnement, Route Sidibouzid","71,127,473",ag.regueb@bhbank.tn
Marsa Ville,"24 Avenue Taieb Mhiri, la Marsa","71,127,476",ag.marsaville@bhbank.tn
Gabes Sud,"Avenue Abu el Kacem Chebbi, 6011 Gabes","71,127,478",ag.gabessud@bhbank.tn
Msaken Ennour,Angle de l'avenue Taieb Hachicha et rue Gafsa,"71,127,479",ag.msakenennour@bhbank.tn
Centre d'Affaires Tunis Sud,Rue du Lin Bir El Kassaa,"71,126,086",mohamed.selimbouazizi@bhbank.tn
Gafsa Ennour,Rue de Palestine Cité Ennour Gafsa,"71,127,481",ag.gafsaennour@bhbank.tn
SFAX LAFRANE,Route Lafrane KM4 Sfax,"71,127,461",ag.sfaxlafrane@bhbank.tn
SOUSSE MALL,"Mall Of Sousse Route Nationale 1, Kalaa Kbira","71,127,467",ag.mallofsousse@bhbank.tn
MAHRES,Route El Korniche,"71,127,469",ag.sfaxmahres@bhbank.tn
THYNA,Route de Gabes Km 7,"71,127,463",ag.sfaxthyna@bhbank.tn
